id,name,dateOfBirth,sex,breed,horseFromPolishBreeding,breeders.name,suffix,mother.name,mother.sex,mother.breed,mother.suffix,father.name,father.sex,father.breed,father.suffix,color.id,color.polishName,color.polishShortName,color.englishName,color.englishShortName,trainer,raceOwners.name,horseCareerData.data.raceYear,horseCareerData.data.horseAge,horseCareerData.data.raceType,horseCareerData.data.raceCount,horseCareerData.data.raceWonCount,horseCareerData.data.racePrizeCount,horseCareerData.data.prize,horseCareerData.recordCount,races.raceId,races.raceDate,races.name,races.order,races.place,races.prize,races.jockey,races.trainer,races.country,races.city
,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0 €,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2018,8,Płaskie,5,1,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,14840 zł,11,1110,26.04.2014,,6,3,960,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7604,11.05.2014,,1,1,4800,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16172,8.06.2014,,11,5,280,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33860,10.08.2014,,1,1,3800,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39008,24.08.2014,,6,4,900,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46510,14.09.2014,,5,3,1120,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57945,18.10.2014,,6,2,2240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64558,9.11.2014,,3,5,280,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70138,23.11.2014,,6,1,5600,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2788,25.04.2015,,3,4,600,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10597,23.05.2015,,7,1,6000,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24700,4.07.2015,,11,9,,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55954,10.10.2015,,8,2,2000,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64820,8.11.2015,,8,1,5000,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17.04.2016,,7,2,3120,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94845,14.05.2016,,7,6,,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12356,19.06.2016,,7,5,290,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40495,21.08.2016,,10,2,1600,Rowan Scott R.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46240,4.09.2016,,7,3,800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60084,8.10.2016,,7,3,960,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
